14.60     637664 1514 1514 1514     637607 -217790866 -433692229 16294     -120      -17      637684 0.0065 0.0192  2.8435 0.0019 
14.70     637929 1514 1514 1514     637607 -217790866 -433692229 16294     -120      -17      637948 0.0059 0.0328  2.8442 -0.0024 
14.80     637929 1514 1514 1514     637996 -217790890 -433692228 16296     -113      -16      637948 0.0059 0.0328  2.8442 -0.0024 
14.90     638171 1514 1514 1514     637996 -217790890 -433692228 16296     -113      -16      638192 0.0053 0.0353  2.8450 0.0022 
15.00     638171 1514 1514 1514     638200 -217790914 -433692227 16302     -104      -16      638192 0.0053 0.0353  2.8450 0.0022 
15.10     638171 1514 1514 1514     638200 -217790914 -433692227 16302     -104      -16      638192 0.0053 0.0353  2.8450 0.0022 
15.20     638450 1514 1514 1514     638200 -217790914 -433692227 16302     -104      -16      638470 0.0064 0.0343  2.8460 0.0007 
15.30     638450 1514 1514 1514     638200 -217790914 -433692227 16302     -104      -16      638470 0.0064 0.0343  2.8460 0.0007 
15.40     638450 1514 1514 1514     638405 -217790937 -433692227 16311      -97      -14      638470 0.0064 0.0343  2.8460 0.0007 
15.50     638714 1514 1514 1514     638812 -217790958 -433692227 16325      -94      -14      638734 0.0058 0.0270  2.8486 0.0129 
15.60     638714 1514 1514 1514     638812 -217790958 -433692227 16325      -94      -14      638734 0.0058 0.0270  2.8486 0.0129 
15.70     638977 1514 1514 1514     638812 -217790958 -433692227 16325      -94      -14      638998 0.0074 0.0133  2.8506 0.0085 
15.80     638977 1514 1514 1514     638812 -217790958 -433692227 16325      -94      -14      638998 0.0074 0.0133  2.8506 0.0085 
15.90     638977 1514 1514 1514     638812 -217790958 -433692227 16325      -94      -14      638998 0.0074 0.0133  2.8506 0.0085 
16.00     639243 1514 1514 1514     639199 -217791003 -433692229 16353      -99      -10      639264 0.0079 0.0016  2.8533 0.0118 
16.10     639243 1514 1514 1514     639199 -217791003 -433692229 16353      -99      -10      639264 0.0079 0.0016  2.8533 0.0118 
16.20     639486 1514 1514 1514     639199 -217791003 -433692229 16353      -99      -10      639264 0.0079 0.0016  2.8533 0.0118 
16.30     639486 1514 1514 1514     639610 -217791028 -433692230 16376     -105       -9      639527 0.0095 -0.0027  2.8569 0.0135 
16.40     639486 1514 1514 1514     639610 -217791028 -433692230 16376     -105       -9      639527 0.0095 -0.0027  2.8569 0.0135 
16.50     639486 1514 1514 1514     639610 -217791028 -433692230 16376     -105       -9      639527 0.0095 -0.0027  2.8569 0.0135 
16.60     639788 1514 1514 1514     639610 -217791028 -433692230 16376     -105       -9      639817 0.0083 0.0037  2.8604 0.0046 
16.70     639788 1514 1514 1514     639610 -217791028 -433692230 16376     -105       -9      639817 0.0083 0.0037  2.8604 0.0046 
16.80     640042 1514 1514 1514     639812 -217791055 -433692231 16390     -110       -8      640081 0.0086 0.0130  2.8605 -0.0051 
16.90     640042 1514 1514 1514     639995 -217791081 -433692234 16387     -111       -9      640081 0.0086 0.0130  2.8605 -0.0051 
17.00     640304 1514 1514 1514     639995 -217791081 -433692234 16387     -111       -9      640344 0.0096 0.0213  2.8587 -0.0103 
17.10     640304 1514 1514 1514     640402 -217791108 -433692236 16375     -110      -10      640344 0.0096 0.0213  2.8587 -0.0103 
17.20     640304 1514 1514 1514     640402 -217791108 -433692236 16375     -110      -10      640344 0.0096 0.0213  2.8587 -0.0103 
17.30     640549 1514 1514 1514     640402 -217791108 -433692236 16375     -110      -10      640590 0.0094 0.0278  2.8558 -0.0132 
17.40     640549 1514 1514 1514     640611 -217791135 -433692239 16356     -108      -11      640590 0.0094 0.0278  2.8558 -0.0132 
17.50     640840 1514 1514 1514     640611 -217791135 -433692239 16356     -108      -11      640590 0.0094 0.0278  2.8558 -0.0132 
17.60     640840 1514 1514 1514     640795 -217791160 -433692242 16335     -105      -12      640880 0.0106 0.0316  2.8520 -0.0119 
17.70     640840 1514 1514 1514     640795 -217791160 -433692242 16335     -105      -12      640880 0.0106 0.0316  2.8520 -0.0119 
17.80     641136 1514 1514 1514     640795 -217791160 -433692242 16335     -105      -12      641176 0.0102 0.0261  2.8475 -0.0133 
17.90     641136 1514 1514 1514     641206 -217791188 -433692244 16310     -102      -13      641176 0.0102 0.0261  2.8475 -0.0133 
18.00     641136 1514 1514 1514     641206 -217791188 -433692244 16310     -102      -13      641176 0.0102 0.0261  2.8475 -0.0133 
18.10     641382 1514 1514 1514     641206 -217791188 -433692244 16310     -102      -13      641423 0.0116 0.0207  2.8436 -0.0107 
18.20     641382 1514 1514 1514     641411 -217791210 -433692247 16288     -101      -13      641423 0.0116 0.0207  2.8436 -0.0107 
18.30     641382 1514 1514 1514     641411 -217791210 -433692247 16288     -101      -13      641423 0.0116 0.0207  2.8436 -0.0107 
18.40     641676 1514 1514 1514     641615 -217791235 -433692250 16272     -103      -13      641716 0.0131 0.0118  2.8405 -0.0111 
18.50     641676 1514 1514 1514     641615 -217791235 -433692250 16272     -103      -13      641716 0.0131 0.0118  2.8405 -0.0111 
18.60     641676 1514 1514 1514     641615 -217791235 -433692250 16272     -103      -13      641716 0.0131 0.0118  2.8405 -0.0111 
18.70     641981 1514 1514 1514     641615 -217791235 -433692250 16272     -103      -13      642022 0.0134 0.0052  2.8368 -0.0122 
18.80     641981 1514 1514 1514     641999 -217791262 -433692252 16251     -106      -13      642022 0.0134 0.0052  2.8368 -0.0122 
18.90     642253 1514 1514 1514     641999 -217791262 -433692252 16251     -106      -13      642294 0.0133 0.0037  2.8311 -0.0259 
19.00     642253 1514 1514 1514     642205 -217791290 -433692254 16214     -109      -12      642294 0.0133 0.0037  2.8311 -0.0259 
19.10     642253 1514 1514 1514     642205 -217791290 -433692254 16214     -109      -12      642294 0.0133 0.0037  2.8311 -0.0259 
19.20     642520 1514 1514 1514     642205 -217791290 -433692254 16214     -109      -12      642294 0.0133 0.0037  2.8311 -0.0259 
19.30     642520 1514 1514 1514     642394 -217791314 -433692255 16170     -111      -11      642564 0.0141 0.0068  2.8231 -0.0327 
19.40     642520 1514 1514 1514     642394 -217791314 -433692255 16170     -111      -11      642564 0.0141 0.0068  2.8231 -0.0327 
19.50     642794 1514 1514 1514     642394 -217791314 -433692255 16170     -111      -11      642564 0.0141 0.0068  2.8231 -0.0327 
19.60     642794 1514 1514 1514     642789 -217791342 -433692258 16102     -112      -11      642858 0.0133 0.0138  2.8112 -0.0447 
19.70     642794 1514 1514 1514     642789 -217791342 -433692258 16102     -112      -11      642858 0.0133 0.0138  2.8112 -0.0447 
19.80     643065 1514 1514 1514     643000 -217791367 -433692259 16032     -111      -11      643125 0.0142 0.0195  2.7982 -0.0510 
19.90     643065 1514 1514 1514     643000 -217791367 -433692259 16032     -111      -11      643125 0.0142 0.0195  2.7982 -0.0510 
20.00     643065 1514 1514 1514     643000 -217791367 -433692259 16032     -111      -11      643125 0.0142 0.0195  2.7982 -0.0510 
20.10     643351 1514 1514 1514     643205 -217791393 -433692261 15943     -110      -11      643392 0.0142 0.0246  2.7827 -0.0590 
20.20     643351 1514 1514 1514     643205 -217791393 -433692261 15943     -110      -11      643392 0.0142 0.0246  2.7827 -0.0590 
20.30     643624 1514 1514 1514     643596 -217791419 -433692263 15848     -107      -12      643665 0.0139 0.0278  2.7661 -0.0571 
20.40     643624 1514 1514 1514     643596 -217791419 -433692263 15848     -107      -12      643665 0.0139 0.0278  2.7661 -0.0571 
20.50     643624 1514 1514 1514     643596 -217791419 -433692263 15848     -107      -12      643665 0.0139 0.0278  2.7661 -0.0571 
20.60     643872 1514 1616 1514     643799 -217791442 -433692265 15769     -106      -13      643913 0.0145 0.0269  2.7522 -0.0525 
20.70     643872 1514 1616 1514     643799 -217791442 -433692265 15769     -106      -13      643913 0.0145 0.0269  2.7522 -0.0525 
20.80     644164 1514 1616 1514     644195 -217791470 -433692269 15710     -108      -27      644204 0.0296 0.0212  2.7419 -0.0024 
20.90     644164 1514 1616 1514     644195 -217791470 -433692269 15710     -108      -27      644204 0.0296 0.0212  2.7419 -0.0024 
21.00     644437 1514 1616 1514     644195 -217791470 -433692269 15710     -108      -27      644204 0.0296 0.0212  2.7419 -0.0024 
21.10     644437 1514 1616 1514     644401 -217791496 -433692278 15702     -101      -39      644479 0.0296 0.0278  2.7406 -0.0127 
21.20     644437 1514 1616 1514     644401 -217791496 -433692278 15702     -101      -39      644479 0.0296 0.0278  2.7406 -0.0127 
21.30     644706 1514 1616 1514     644607 -217791519 -433692288 15598      -98      -50      644479 0.0296 0.0278  2.7406 -0.0127 
21.40     644706 1514 1616 1514     644607 -217791519 -433692288 15598      -98      -50      644766 0.0295 0.0139  2.7200 -0.1187 
21.50     644706 1514 1616 1514     644607 -217791519 -433692288 15598      -98      -50      644766 0.0295 0.0139  2.7200 -0.1187 
21.60     644996 1514 1616 1514     645004 -217791541 -433692301 15362      -95      -57      645041 0.0345 0.0122  2.6778 -0.1724 
21.70     644996 1514 1616 1514     645004 -217791541 -433692301 15362      -95      -57      645041 0.0345 0.0122  2.6778 -0.1724 
21.80     645261 1514 1616 1514     645004 -217791541 -433692301 15362      -95      -57      645041 0.0345 0.0122  2.6778 -0.1724 
21.90     645261 1514 1616 1514     645193 -217791563 -433692314 15050      -89      -60      645041 0.0345 0.0122  2.6778 -0.1724 
22.00     645261 1514 1616 1514     645193 -217791563 -433692314 15050      -89      -60      645041 0.0345 0.0122  2.6778 -0.1724 
22.10     645261 1514 1616 1514     645193 -217791563 -433692314 15050      -89      -60      645326 0.0343 0.0180  2.6209 -0.2242 
22.20     645536 1514 1616 1514     645399 -217791582 -433692326 14674      -82      -62      645597 0.0350 0.0227  2.5557 -0.2560 
22.30     645536 1514 1616 1514     645399 -217791582 -433692326 14674      -82      -62      645597 0.0350 0.0227  2.5557 -0.2560 
